ID,Year,Month,Model,Features,Parameters,Predicted Production,Actual Production,Error,% Error,Crop,Feature Values,Abs_Error,Abs_Pct_Error
,2012,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",422960.26666666666,469649.0,-46688.73333333334,-0.09941197220335471,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",46688.73333333334,0.09941197220335471
,2012,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",126455.86666666667,228422.65,-101966.78333333333,-0.4463952385340654,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",101966.78333333333,0.4463952385340654
,2012,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",472719.0,662614.0,-189895.0,-0.28658464807565187,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",189895.0,0.28658464807565187
,2012,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",83788.73333333334,137574.0,-53785.26666666666,-0.3909551707929308,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",53785.26666666666,0.3909551707929308
,2012,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",519603.6,692572.0,-172968.40000000002,-0.2497478962476104,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",172968.40000000002,0.2497478962476104
,2013,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",489378.8,436153.0,53225.79999999999,0.12203469883274903,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",53225.79999999999,0.12203469883274903
,2013,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",238298.75999999998,225902.0,12396.75999999998,0.05487671645226683,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",12396.75999999998,0.05487671645226683
,2013,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",678356.2,515365.0,162991.19999999995,0.3162636189884838,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",162991.19999999995,0.3162636189884838
,2013,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",138859.13333333333,92029.0,46830.13333333333,0.5088627860058604,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",46830.13333333333,0.5088627860058604
,2013,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",702421.8,677456.0,24965.800000000047,0.03685228265747155,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",24965.800000000047,0.03685228265747155
,2014,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",456995.26666666666,559021.0,-102025.73333333334,-0.18250787239358332,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",102025.73333333334,0.18250787239358332
,2014,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",238006.2,178732.0,59274.20000000001,0.33163731172929306,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",59274.20000000001,0.33163731172929306
,2014,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",520294.8,408993.0,111301.79999999999,0.2721361979300379,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",111301.79999999999,0.2721361979300379
,2014,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",90192.66666666667,102323.0,-12130.333333333328,-0.11854943007274345,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",12130.333333333328,0.11854943007274345
,2014,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",684015.2666666667,669329.0,14686.266666666721,0.021941775519463105,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",14686.266666666721,0.021941775519463105
,2015,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",572022.4,906348.0,-334325.6,-0.3688711179370396,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",334325.6,0.3688711179370396
,2015,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",186238.66666666666,304296.0,-118057.33333333334,-0.3879687321993498,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",118057.33333333334,0.3879687321993498
,2015,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",391259.2,749874.0,-358614.8,-0.4782334098795264,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",358614.8,0.4782334098795264
,2015,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",99314.93333333333,188500.0,-89185.06666666667,-0.47313032714412023,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",89185.06666666667,0.47313032714412023
,2015,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",646334.2666666667,1050042.0,-403707.7333333333,-0.3844681768284824,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",403707.7333333333,0.3844681768284824
,2016,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",953285.0,950779.0,2506.0,0.0026357334354250566,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",2506.0,0.0026357334354250566
,2016,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",319342.86666666664,400462.0,-81119.13333333336,-0.20256387206110282,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",81119.13333333336,0.20256387206110282
,2016,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",759850.8666666667,698643.0,61207.8666666667,0.08760964708251096,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",61207.8666666667,0.08760964708251096
,2016,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",191483.33333333334,193452.0,-1968.666666666657,-0.010176512347593496,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",1968.666666666657,0.010176512347593496
,2016,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",1049275.4666666666,719000.0,330275.46666666656,0.45935391747797855,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",330275.46666666656,0.45935391747797855
,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",1000365.0,1011269.0,-10904.0,-0.010782492096563822,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",10904.0,0.010782492096563822
,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",419923.06666666665,410364.0,9559.066666666651,0.023294116118048006,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",9559.066666666651,0.023294116118048006
,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",708108.8666666667,875484.0,-167375.1333333333,-0.19118011675065827,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",167375.1333333333,0.19118011675065827
,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",196372.2,215491.0,-19118.79999999999,-0.08872203479495658,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",19118.79999999999,0.08872203479495658
,2017,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",707776.2666666667,1405223.0,-697446.7333333333,-0.49632459284635483,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",697446.7333333333,0.49632459284635483
,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",1067193.9333333333,1206587.27,-139393.33666666667,-0.11552694126025934,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",139393.33666666667,0.11552694126025934
,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",432363.4666666667,485672.51,-53309.043333333335,-0.10976335336198735,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",53309.043333333335,0.10976335336198735
,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",906194.9333333333,897574.18,8620.753333333298,0.009604502363618901,Millet,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",8620.753333333298,0.009604502363618901
,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",222061.8,295463.11,-73401.31,-0.24842800172244853,Sorghum,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",73401.31,0.24842800172244853
,2018,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",1481523.0,1500588.37,-19065.37000000011,-0.012705263069578575,Peanut,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",19065.37000000011,0.012705263069578575
,2019,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",1271572.7546666667,1155730.28,115842.4746666667,0.10023313974837339,Rice,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",115842.4746666667,0.10023313974837339
,2019,1,lr,"['_Weighted_Rainfall', '_Weighted_VHI', '_Weighted_VHI_Cumulative']","{'training_data_years': 15, 'differencing': 1, 'ma': 0}",491323.544,530704.97,-39381.42599999998,-0.07420587374563306,Corn,"Rice_Weighted_Rainfall_Transformed          433.760335
Rice_Weighted_VHI_Transformed                 0.022758
Rice_Weighted_VHI_Cumulative_Transformed      0.252860
Name: 128, dtype: float64",39381.42599999998,0.07420587374563306
